stand_number,phase,area_sqm,cost_per_sqm,total_cost
408,I,289.0,15.0,4335
409,I,289.0,15.0,4335
410,I,297.0,15.0,4455
411,I,676.0,15.0,10140
412,I,421.0,15.0,6315
413,I,597.0,15.0,8955
414,I,300.0,15.0,4500
415,I,339.0,15.0,5085
416,I,439.0,15.0,6585
417,I,287.0,15.0,4305
418,I,287.0,15.0,4305
419,I,287.0,15.0,4305
420,I,286.0,15.0,4290
421,I,288.0,15.0,4320
422,I,287.0,15.0,4305
423,I,288.0,15.0,4320
424,I,288.0,15.0,4320
425,I,288.0,15.0,4320
426,I,287.0,15.0,4305
427,I,288.0,15.0,4320
428,I,291.0,15.0,4365
429,I,286.0,15.0,4290
430,I,288.0,15.0,4320
431,I,287.0,15.0,4305
432,I,287.0,15.0,4305
433,I,287.0,15.0,4305
434,I,287.0,15.0,4305
435,I,287.0,15.0,4305
436,I,287.0,15.0,4305
437,I,287.0,15.0,4305
438,I,287.0,15.0,4305
439,I,286.0,15.0,4290
440,I,286.0,15.0,4290
441,I,287.0,15.0,4305
442,I,287.0,15.0,4305
443,I,442.0,15.0,6630
444,I,340.0,15.0,5100
445,I,298.0,15.0,4470
446,I,300.0,15.0,4500
447,I,302.0,15.0,4530
448,I,299.0,15.0,4485
449,I,304.0,15.0,4560
450,I,297.0,15.0,4455
451,I,302.0,15.0,4530
452,I,295.0,15.0,4425
453,I,302.0,15.0,4530
454,I,295.0,15.0,4425
455,I,303.0,15.0,4545
456,I,347.0,15.0,5205
457,I,458.0,15.0,6870
458,I,301.0,15.0,4515
459,I,292.0,15.0,4380
460,I,289.0,15.0,4335
461,I,296.0,15.0,4440
462,I,344.0,15.0,5160
463,I,342.0,15.0,5130
464,I,294.0,15.0,4410
465,I,300.0,15.0,4500
466,I,296.0,15.0,4440
467,I,520.0,15.0,7800
468,I,359.0,15.0,5385
469,I,296.0,15.0,4440
470,I,301.0,15.0,4515
471,I,300.0,15.0,4500
472,I,302.0,15.0,4530
473,I,301.0,15.0,4515
474,I,301.0,15.0,4515
475,I,300.0,15.0,4500
476,I,344.0,15.0,5160
477,I,345.0,15.0,5175
478,I,270.0,15.0,4050
479,I,291.0,15.0,4365
480,I,293.0,15.0,4395
481,I,291.0,15.0,4365
482,I,287.0,15.0,4305
483,I,288.0,15.0,4320
484,I,288.0,15.0,4320
485,I,288.0,15.0,4320
486,I,289.0,15.0,4335
487,I,287.0,15.0,4305
488,I,287.0,15.0,4305
489,I,290.0,15.0,4350
490,I,290.0,15.0,4350
491,I,269.0,15.0,4035
492,I,269.0,15.0,4035
493,I,288.0,15.0,4320
494,I,287.0,15.0,4305
495,I,287.0,15.0,4305
496,I,289.0,15.0,4335
497,I,284.0,15.0,4260
498,I,287.0,15.0,4305
499,I,288.0,15.0,4320
500,I,286.0,15.0,4290
501,I,288.0,15.0,4320
502,I,283.0,15.0,4245
503,I,283.0,15.0,4245
504,I,285.0,15.0,4275
505,I,266.0,15.0,3990
506,I,256.0,15.0,3840
507,I,282.0,15.0,4230
508,I,284.0,15.0,4260
509,I,284.0,15.0,4260
510,I,286.0,15.0,4290
511,I,284.0,15.0,4260
512,I,285.0,15.0,4275
513,I,285.0,15.0,4275
514,I,284.0,15.0,4260
515,I,284.0,15.0,4260
516,I,292.0,15.0,4380
517,I,286.0,15.0,4290
518,I,285.0,15.0,4275
519,I,286.0,15.0,4290
520,I,286.0,15.0,4290
521,I,285.0,15.0,4275
522,I,286.0,15.0,4290
523,I,286.0,15.0,4290
524,I,286.0,15.0,4290
525,I,287.0,15.0,4305
526,I,287.0,15.0,4305
527,I,287.0,15.0,4305
528,I,287.0,15.0,4305
529,I,261.0,15.0,3915
530,I,261.0,15.0,3915
531,I,287.0,15.0,4305
532,I,533.0,15.0,7995
533,I,534.0,15.0,8010
534,I,300.0,15.0,4500
535,I,300.0,15.0,4500
536,I,295.0,15.0,4425
537,I,299.0,15.0,4485
538,I,298.0,15.0,4470
539,I,301.0,15.0,4515
540,I,295.0,15.0,4425
541,I,336.0,15.0,5040
542,I,344.0,15.0,5160
543,I,296.0,15.0,4440
544,I,302.0,15.0,4530
545,I,286.0,15.0,4290
546,I,298.0,15.0,4470
547,I,298.0,15.0,4470
548,I,303.0,15.0,4545
549,I,487.0,15.0,7305
550,I,422.0,15.0,6330
551,I,312.0,15.0,4680
552,I,486.0,15.0,7290
553,I,303.0,15.0,4545
554,I,297.0,15.0,4455
555,I,302.0,15.0,4530
556,I,298.0,15.0,4470
557,I,300.0,15.0,4500
558,I,301.0,15.0,4515
559,I,301.0,15.0,4515
560,I,301.0,15.0,4515
561,I,301.0,15.0,4515
562,I,304.0,15.0,4560
563,I,489.0,15.0,7335
564,I,298.0,15.0,4470
565,I,301.0,15.0,4515
566,I,307.0,15.0,4605
567,I,394.0,15.0,5910
568,I,378.0,15.0,5670
569,I,355.0,15.0,5325
570,I,355.0,15.0,5325
571,I,368.0,15.0,5520
572,I,367.0,15.0,5505
573,I,408.0,15.0,6120
574,I,451.0,15.0,6765
575,I,302.0,15.0,4530
576,I,300.0,15.0,4500
577,I,600.0,15.0,9000
578,I,300.0,15.0,4500
579,I,300.0,15.0,4500
580,I,299.0,15.0,4485
581,I,301.0,15.0,4515
582,I,298.0,15.0,4470
583,I,300.0,15.0,4500
584,I,300.0,15.0,4500
585,I,296.0,15.0,4440
586,I,315.0,15.0,4725
587,I,429.0,15.0,6435
588,H,873.0,15.0,13095
589,D,506.0,15.0,7590
590,H,441.0,15.0,6615
591,H,405.0,15.0,6075
592,H,396.0,15.0,5940
593,H,405.0,15.0,6075
594,H,423.0,15.0,6345
595,H,421.0,15.0,6315
596,H,430.0,15.0,6450
597,H,440.0,15.0,6600
598,H,449.0,15.0,6735
599,H,447.0,15.0,6705
600,H,444.0,15.0,6660
601,H,418.0,15.0,6270
602,H,432.0,15.0,6480
603,H,424.0,15.0,6360
604,H,430.0,15.0,6450
605,H,424.0,15.0,6360
606,H,424.0,15.0,6360
607,H,422.0,15.0,6330
608,H,421.0,15.0,6315
609,H,423.0,15.0,6345
610,H,423.0,15.0,6345
611,H,423.0,15.0,6345
612,H,423.0,15.0,6345
613,H,752.0,15.0,11280
614,H,431.0,15.0,6465
615,H,403.0,15.0,6045
616,H,398.0,15.0,5970
617,H,405.0,15.0,6075
618,H,402.0,15.0,6030
619,H,398.0,15.0,5970
620,H,406.0,15.0,6090
621,H,397.0,15.0,5955
622,H,398.0,15.0,5970
623,H,399.0,15.0,5985
624,H,398.0,15.0,5970
625,H,396.0,15.0,5940
626,H,400.0,15.0,6000
627,H,398.0,15.0,5970
628,H,400.0,15.0,6000
629,H,398.0,15.0,5970
630,H,399.0,15.0,5985
631,H,401.0,15.0,6015
632,H,400.0,15.0,6000
633,H,397.0,15.0,5955
634,H,397.0,15.0,5955
635,H,433.0,15.0,6495
636,H,381.0,15.0,5715
637,H,399.0,15.0,5985
638,H,399.0,15.0,5985
639,H,399.0,15.0,5985
640,H,397.0,15.0,5955
641,H,399.0,15.0,5985
642,H,400.0,15.0,6000
643,H,400.0,15.0,6000
644,H,399.0,15.0,5985
645,H,545.0,15.0,8175
646,H,400.0,15.0,6000
647,H,401.0,15.0,6015
648,H,400.0,15.0,6000
649,H,400.0,15.0,6000
650,H,558.0,15.0,8370
651,H,557.0,15.0,8355
652,H,398.0,15.0,5970
653,H,400.0,15.0,6000
654,H,487.0,15.0,7305
655,H,422.0,15.0,6330
656,H,399.0,15.0,5985
657,H,400.0,15.0,6000
658,H,396.0,15.0,5940
659,H,399.0,15.0,5985
660,H,398.0,15.0,5970
661,H,400.0,15.0,6000
662,H,381.0,15.0,5715
663,H,433.0,15.0,6495
664,H,505.0,15.0,7575
665,H,400.0,15.0,6000
666,H,400.0,15.0,6000
667,H,400.0,15.0,6000
668,H,432.0,15.0,6480
669,H,432.0,15.0,6480
670,H,399.0,15.0,5985
671,H,398.0,15.0,5970
672,H,397.0,15.0,5955
673,H,500.0,15.0,7500
674,H,433.0,15.0,6495
675,H,381.0,15.0,5715
676,H,397.0,15.0,5955
677,H,398.0,15.0,5970
678,H,401.0,15.0,6015
679,H,406.0,15.0,6090
680,H,396.0,15.0,5940
681,H,397.0,15.0,5955
682,H,402.0,15.0,6030
683,H,399.0,15.0,5985
684,H,397.0,15.0,5955
685,H,451.0,15.0,6765
686,H,448.0,15.0,6720
687,H,399.0,15.0,5985
688,H,399.0,15.0,5985
689,H,399.0,15.0,5985
690,H,398.0,15.0,5970
691,H,398.0,15.0,5970
692,H,400.0,15.0,6000
693,H,398.0,15.0,5970
694,H,398.0,15.0,5970
695,H,398.0,15.0,5970
696,H,380.0,15.0,5700
697,D,438.0,15.0,6570
698,D,296.0,15.0,4440
699,D,300.0,15.0,4500
700,D,300.0,15.0,4500
701,D,300.0,15.0,4500
702,D,300.0,15.0,4500
703,D,300.0,15.0,4500
704,D,300.0,15.0,4500
705,D,300.0,15.0,4500
706,D,300.0,15.0,4500
707,D,300.0,15.0,4500
708,D,300.0,15.0,4500
709,D,300.0,15.0,4500
710,D,300.0,15.0,4500
711,D,300.0,15.0,4500
712,D,300.0,15.0,4500
713,D,300.0,15.0,4500
714,D,300.0,15.0,4500
715,D,300.0,15.0,4500
716,D,333.0,15.0,4995
717,D,465.0,15.0,6975
718,D,333.0,15.0,4995
719,D,333.0,15.0,4995
720,D,333.0,15.0,4995
721,D,333.0,15.0,4995
722,D,333.0,15.0,4995
723,D,333.0,15.0,4995
724,D,333.0,15.0,4995
725,D,333.0,15.0,4995
726,D,333.0,15.0,4995
727,D,333.0,15.0,4995
728,D,333.0,15.0,4995
729,D,333.0,15.0,4995
730,D,333.0,15.0,4995
731,D,333.0,15.0,4995
732,D,333.0,15.0,4995
733,D,333.0,15.0,4995
734,D,333.0,15.0,4995
735,D,333.0,15.0,4995
736,E,433.0,15.0,6495
737,D,318.0,15.0,4770
738,D,300.0,15.0,4500
739,D,300.0,15.0,4500
740,D,300.0,15.0,4500
741,D,300.0,15.0,4500
742,D,300.0,15.0,4500
743,D,300.0,15.0,4500
744,D,300.0,15.0,4500
745,D,300.0,15.0,4500
746,D,300.0,15.0,4500
747,D,300.0,15.0,4500
748,D,300.0,15.0,4500
749,D,300.0,15.0,4500
750,D,300.0,15.0,4500
751,D,300.0,15.0,4500
752,D,300.0,15.0,4500
753,D,300.0,15.0,4500
754,D,300.0,15.0,4500
755,D,300.0,15.0,4500
756,D,708.0,15.0,10620
757,D,332.0,15.0,4980
758,D,300.0,15.0,4500
759,D,300.0,15.0,4500
760,D,300.0,15.0,4500
761,D,299.0,15.0,4485
762,D,300.0,15.0,4500
763,D,300.0,15.0,4500
764,D,300.0,15.0,4500
765,D,300.0,15.0,4500
766,D,300.0,15.0,4500
767,D,300.0,15.0,4500
768,D,300.0,15.0,4500
769,D,300.0,15.0,4500
770,D,300.0,15.0,4500
771,D,295.0,15.0,4425
772,D,300.0,15.0,4500
773,D,300.0,15.0,4500
774,D,300.0,15.0,4500
775,D,300.0,15.0,4500
776,D,348.0,15.0,5220
777,E,431.0,15.0,6465
778,D,297.0,15.0,4455
779,D,298.0,15.0,4470
780,D,299.0,15.0,4485
781,D,297.0,15.0,4455
782,D,298.0,15.0,4470
783,D,280.0,15.0,4200
784,D,299.0,15.0,4485
785,D,231.0,15.0,3465
786,D,292.0,15.0,4380
787,D,300.0,15.0,4500
788,D,300.0,15.0,4500
789,D,300.0,15.0,4500
790,E,551.0,15.0,8265
791,D,295.0,15.0,4425
792,D,300.0,15.0,4500
793,D,300.0,15.0,4500
794,D,300.0,15.0,4500
795,D,300.0,15.0,4500
796,D,300.0,15.0,4500
797,D,300.0,15.0,4500
798,D,300.0,15.0,4500
799,D,300.0,15.0,4500
800,D,300.0,15.0,4500
801,D,300.0,15.0,4500
802,D,300.0,15.0,4500
803,D,300.0,15.0,4500
804,D,300.0,15.0,4500
805,D,300.0,15.0,4500
806,D,300.0,15.0,4500
807,D,399.0,15.0,5985
808,E,498.0,15.0,7470
809,D,300.0,15.0,4500
810,D,303.0,15.0,4545
811,D,296.0,15.0,4440
812,D,300.0,15.0,4500
813,E,471.0,15.0,7065
814,D,301.0,15.0,4515
815,D,300.0,15.0,4500
816,E,565.0,15.0,8475
817,D,282.0,15.0,4230
818,D,300.0,15.0,4500
819,D,300.0,15.0,4500
820,D,300.0,15.0,4500
821,D,330.0,15.0,4950
822,D,348.0,15.0,5220
823,D,300.0,15.0,4500
824,D,300.0,15.0,4500
825,D,348.0,15.0,5220
826,E,549.0,15.0,8235
827,D,367.0,15.0,5505
828,D,307.0,15.0,4605
829,D,321.0,15.0,4815
830,E,531.0,15.0,7965
831,D,394.0,15.0,5910
832,D,300.0,15.0,4500
833,D,300.0,15.0,4500
834,D,300.0,15.0,4500
835,D,300.0,15.0,4500
836,D,300.0,15.0,4500
837,D,345.0,15.0,5175
838,E,541.0,15.0,8115
839,D,300.0,15.0,4500
840,D,300.0,15.0,4500
841,D,300.0,15.0,4500
842,D,345.0,15.0,5175
843,E,541.0,15.0,8115
844,D,300.0,15.0,4500
845,D,300.0,15.0,4500
846,D,300.0,15.0,4500
847,D,408.0,15.0,6120
848,E,410.0,15.0,6150
849,D,302.0,15.0,4530
850,D,300.0,15.0,4500
851,D,282.0,15.0,4230
852,E,410.0,15.0,6150
853,D,299.0,15.0,4485
854,D,300.0,15.0,4500
855,D,300.0,15.0,4500
856,D,300.0,15.0,4500
857,D,300.0,15.0,4500
858,D,300.0,15.0,4500
859,D,300.0,15.0,4500
860,D,300.0,15.0,4500
861,D,300.0,15.0,4500
862,D,300.0,15.0,4500
863,D,300.0,15.0,4500
864,D,300.0,15.0,4500
865,D,300.0,15.0,4500
866,D,300.0,15.0,4500
867,D,476.0,15.0,7140
868,D,408.0,15.0,6120
869,D,300.0,15.0,4500
870,D,300.0,15.0,4500
871,D,300.0,15.0,4500
872,D,300.0,15.0,4500
873,D,300.0,15.0,4500
874,D,300.0,15.0,4500
875,D,300.0,15.0,4500
876,D,300.0,15.0,4500
877,D,300.0,15.0,4500
878,D,300.0,15.0,4500
879,D,300.0,15.0,4500
880,D,300.0,15.0,4500
881,D,462.0,15.0,6930
882,R,303.0,15.0,4545
883,R,308.0,15.0,4620
884,R,300.0,15.0,4500
885,R,299.0,15.0,4485
886,R,411.0,15.0,6165
887,R,625.0,15.0,9375
888,R,398.0,15.0,5970
889,R,398.0,15.0,5970
890,R,398.0,15.0,5970
891,R,399.0,15.0,5985
892,R,400.0,15.0,6000
893,R,399.0,15.0,5985
894,R,397.0,15.0,5955
895,R,395.0,15.0,5925
896,R,398.0,15.0,5970
897,R,400.0,15.0,6000
898,R,517.0,15.0,7755
899,R,526.0,15.0,7890
900,R,400.0,15.0,6000
901,R,400.0,15.0,6000
902,R,400.0,15.0,6000
903,R,400.0,15.0,6000
904,R,400.0,15.0,6000
905,R,400.0,15.0,6000
906,R,400.0,15.0,6000
907,R,398.0,15.0,5970
908,R,400.0,15.0,6000
909,R,400.0,15.0,6000
910,R,531.0,15.0,7965
911,R,400.0,15.0,6000
912,R,400.0,15.0,6000
913,R,400.0,15.0,6000
914,R,400.0,15.0,6000
915,R,542.0,15.0,8130
916,R,534.0,15.0,8010
917,R,400.0,15.0,6000
918,R,400.0,15.0,6000
919,R,400.0,15.0,6000
920,R,395.0,15.0,5925
921,R,400.0,15.0,6000
922,R,400.0,15.0,6000
923,R,787.0,15.0,11805
924,R,392.0,15.0,5880
925,R,400.0,15.0,6000
926,R,398.0,15.0,5970
